deployment_id,species,time_in_fov_s,image_time_s,duration_days,distance,effort,density_km2,density_image_time_km2
SUN_PRAIRIE_101_R5,American bison,404.03568728692915,480,22.10350694,14,14.252989912089035,3.2809529804423643,3.897817643751695
SUN_PRAIRIE_101_R5,Coyote,0,0,22.10350694,14,14.252989912089035,0,0
SUN_PRAIRIE_101_R5,Mule deer,0,0,22.10350694,14,14.252989912089035,0,0
SUN_PRAIRIE_101_R5,Pronghorn,0,0,22.10350694,14,14.252989912089035,0,0
SUN_PRAIRIE_101_R5,White-tailed deer,0,0,22.10350694,14,14.252989912089035,0,0
SUN_PRAIRIE_102_R1,American bison,138.53162795354427,26,29.90532407,13,16.62738450078038,0.9642979769073966,0.18098211772982242
SUN_PRAIRIE_102_R1,Coyote,10.041758241758242,14,29.90532407,13,16.62738450078038,0.06989917970478095,0.09745190954682746
SUN_PRAIRIE_102_R1,Mule deer,0,0,29.90532407,13,16.62738450078038,0,0
SUN_PRAIRIE_102_R1,Pronghorn,0,0,29.90532407,13,16.62738450078038,0,0
SUN_PRAIRIE_102_R1,White-tailed deer,0,0,29.90532407,13,16.62738450078038,0,0
SUN_PRAIRIE_102_R2,American bison,0,0,36.01777778,14,23.22532007014651,0,0
SUN_PRAIRIE_102_R2,Coyote,0,0,36.01777778,14,23.22532007014651,0,0
SUN_PRAIRIE_102_R2,Mule deer,0,0,36.01777778,14,23.22532007014651,0,0
SUN_PRAIRIE_102_R2,Pronghorn,0,0,36.01777778,14,23.22532007014651,0,0
SUN_PRAIRIE_102_R2,White-tailed deer,0,0,36.01777778,14,23.22532007014651,0,0
SUN_PRAIRIE_102_R3,American bison,0,0,27.91331019,14,17.999321538932325,0,0
SUN_PRAIRIE_102_R3,Coyote,0,0,27.91331019,14,17.999321538932325,0,0
SUN_PRAIRIE_102_R3,Mule deer,0,0,27.91331019,14,17.999321538932325,0,0
SUN_PRAIRIE_102_R3,Pronghorn,0,0,27.91331019,14,17.999321538932325,0,0
SUN_PRAIRIE_102_R3,White-tailed deer,0,0,27.91331019,14,17.999321538932325,0,0
SUN_PRAIRIE_102_R4,American bison,65.23162795354425,68,11.51523148,14,7.425359177859498,1.016780031541052,1.0599312682190216
SUN_PRAIRIE_102_R4,Coyote,6.041758241758242,10,11.51523148,14,7.425359177859498,0.0941742422861697,0.1558722453263267
SUN_PRAIRIE_102_R4,Mule deer,0,0,11.51523148,14,7.425359177859498,0,0
SUN_PRAIRIE_102_R4,Pronghorn,0,0,11.51523148,14,7.425359177859498,0,0
SUN_PRAIRIE_102_R4,White-tailed deer,0,0,11.51523148,14,7.425359177859498,0,0
SUN_PRAIRIE_102_R5,American bison,105.86271325590708,138,22.00486111,14,14.18938018609957,0.863506981162323,1.125646223636265
SUN_PRAIRIE_102_R5,Coyote,11.083516483516483,10,22.00486111,14,14.18938018609957,0.09040665561072915,0.08156856693016412
SUN_PRAIRIE_102_R5,Mule deer,0,0,22.00486111,14,14.18938018609957,0,0
SUN_PRAIRIE_102_R5,Pronghorn,0,0,22.00486111,14,14.18938018609957,0,0
SUN_PRAIRIE_102_R5,White-tailed deer,0,0,22.00486111,14,14.18938018609957,0,0
SUN_PRAIRIE_103_R1,American bison,35.410542651181416,54,4.160509259,10,1.3687849296865422,2.9942194333027117,4.566093521669089
SUN_PRAIRIE_103_R1,Coyote,3.0417582417582416,4,4.160509259,10,1.3687849296865422,0.2572028259662197,0.33822914975326596
SUN_PRAIRIE_103_R1,Mule deer,0,0,4.160509259,10,1.3687849296865422,0,0
SUN_PRAIRIE_103_R1,Pronghorn,0,0,4.160509259,10,1.3687849296865422,0,0
SUN_PRAIRIE_103_R1,White-tailed deer,0,0,4.160509259,10,1.3687849296865422,0,0
SUN_PRAIRIE_103_R2,American bison,0,0,0.286064815,14,0.18446298741038675,0,0
SUN_PRAIRIE_103_R2,Coyote,0,0,0.286064815,14,0.18446298741038675,0,0
SUN_PRAIRIE_103_R2,Mule deer,0,0,0.286064815,14,0.18446298741038675,0,0
SUN_PRAIRIE_103_R2,Pronghorn,0,0,0.286064815,14,0.18446298741038675,0,0
SUN_PRAIRIE_103_R2,White-tailed deer,0,0,0.286064815,14,0.18446298741038675,0,0
SUN_PRAIRIE_103_R3,American bison,0,0,8.856608796,14,5.711001252758989,0,0
SUN_PRAIRIE_103_R3,Coyote,0,0,8.856608796,14,5.711001252758989,0,0
SUN_PRAIRIE_103_R3,Mule deer,0,0,8.856608796,14,5.711001252758989,0,0
SUN_PRAIRIE_103_R3,Pronghorn,0,0,8.856608796,14,5.711001252758989,0,0
SUN_PRAIRIE_103_R3,White-tailed deer,0,0,8.856608796,14,5.711001252758989,0,0
SUN_PRAIRIE_103_R4,American bison,77.23162795354425,62,32.03387731,14,20.656384137771028,0.4327401043831031,0.34739506576102336
SUN_PRAIRIE_103_R4,Coyote,120.39054945054946,92,32.03387731,14,20.656384137771028,0.6745658523125703,0.515489452419583
SUN_PRAIRIE_103_R4,Mule deer,0,0,32.03387731,14,20.656384137771028,0,0
SUN_PRAIRIE_103_R4,Pronghorn,0,0,32.03387731,14,20.656384137771028,0,0
SUN_PRAIRIE_103_R4,White-tailed deer,0,0,32.03387731,14,20.656384137771028,0,0
SUN_PRAIRIE_103_R5,American bison,0,0,22.00788194,14,14.191328105931161,0,0
SUN_PRAIRIE_103_R5,Coyote,0,0,22.00788194,14,14.191328105931161,0,0
SUN_PRAIRIE_103_R5,Mule deer,0,0,22.00788194,14,14.191328105931161,0,0
SUN_PRAIRIE_103_R5,Pronghorn,0,0,22.00788194,14,14.191328105931161,0,0
SUN_PRAIRIE_103_R5,White-tailed deer,0,0,22.00788194,14,14.191328105931161,0,0
SUN_PRAIRIE_104_R1,American bison,216.31516170833575,138,8.191724537,8,1.7248210191782687,14.515405813818095,9.260220071895713
SUN_PRAIRIE_104_R1,Coyote,4.041758241758242,6,8.191724537,8,1.7248210191782687,0.2712142811310115,0.40261826399546574
SUN_PRAIRIE_104_R1,Mule deer,4.895506028498356,8,8.191724537,8,1.7248210191782687,0.32850335642889084,0.5368243519939543
SUN_PRAIRIE_104_R1,Pronghorn,0,0,8.191724537,8,1.7248210191782687,0,0
SUN_PRAIRIE_104_R1,White-tailed deer,0,0,8.191724537,8,1.7248210191782687,0,0
SUN_PRAIRIE_104_R2,American bison,0,0,41.97313657,14,27.06551018057343,0,0
SUN_PRAIRIE_104_R2,Coyote,0,0,41.97313657,14,27.06551018057343,0,0
SUN_PRAIRIE_104_R2,Mule deer,0,0,41.97313657,14,27.06551018057343,0,0
SUN_PRAIRIE_104_R2,Pronghorn,0,0,41.97313657,14,27.06551018057343,0,0
SUN_PRAIRIE_104_R2,White-tailed deer,0,0,41.97313657,14,27.06551018057343,0,0
SUN_PRAIRIE_104_R3,American bison,0,0,20.83571759,14,13.435482135370421,0,0
SUN_PRAIRIE_104_R3,Coyote,0,0,20.83571759,14,13.435482135370421,0,0
SUN_PRAIRIE_104_R3,Mule deer,0,0,20.83571759,14,13.435482135370421,0,0
