deployment_id,species,week,n_images
SUN_PRAIRIE_100_R3,American bison,31,0
SUN_PRAIRIE_100_R3,Coyote,31,0
SUN_PRAIRIE_100_R3,Mule deer,31,9
SUN_PRAIRIE_100_R3,Pronghorn,31,0
SUN_PRAIRIE_100_R3,White-tailed deer,31,0
SUN_PRAIRIE_100_R3,American bison,32,0
SUN_PRAIRIE_100_R3,Coyote,32,0
SUN_PRAIRIE_100_R3,Mule deer,32,0
SUN_PRAIRIE_100_R3,Pronghorn,32,0
SUN_PRAIRIE_100_R3,White-tailed deer,32,0
SUN_PRAIRIE_100_R3,American bison,33,0
SUN_PRAIRIE_100_R3,Coyote,33,0
SUN_PRAIRIE_100_R3,Mule deer,33,0
SUN_PRAIRIE_100_R3,Pronghorn,33,0
SUN_PRAIRIE_100_R3,White-tailed deer,33,0
SUN_PRAIRIE_100_R3,American bison,34,0
SUN_PRAIRIE_100_R3,Coyote,34,0
SUN_PRAIRIE_100_R3,Mule deer,34,0
SUN_PRAIRIE_100_R3,Pronghorn,34,0
SUN_PRAIRIE_100_R3,White-tailed deer,34,0
SUN_PRAIRIE_100_R4,American bison,34,0
SUN_PRAIRIE_100_R4,Coyote,34,0
SUN_PRAIRIE_100_R4,Mule deer,34,0
SUN_PRAIRIE_100_R4,Pronghorn,34,0
SUN_PRAIRIE_100_R4,White-tailed deer,34,0
SUN_PRAIRIE_100_R4,American bison,35,0
SUN_PRAIRIE_100_R4,Coyote,35,0
SUN_PRAIRIE_100_R4,Mule deer,35,0
SUN_PRAIRIE_100_R4,Pronghorn,35,0
SUN_PRAIRIE_100_R4,White-tailed deer,35,0
SUN_PRAIRIE_100_R4,American bison,36,0
SUN_PRAIRIE_100_R4,Coyote,36,0
SUN_PRAIRIE_100_R4,Mule deer,36,0
SUN_PRAIRIE_100_R4,Pronghorn,36,0
SUN_PRAIRIE_100_R4,White-tailed deer,36,0
SUN_PRAIRIE_100_R4,American bison,37,0
SUN_PRAIRIE_100_R4,Coyote,37,0
SUN_PRAIRIE_100_R4,Mule deer,37,0
SUN_PRAIRIE_100_R4,Pronghorn,37,0
SUN_PRAIRIE_100_R4,White-tailed deer,37,0
SUN_PRAIRIE_100_R4,American bison,38,0
SUN_PRAIRIE_100_R4,Coyote,38,0
SUN_PRAIRIE_100_R4,Mule deer,38,0
SUN_PRAIRIE_100_R4,Pronghorn,38,0
SUN_PRAIRIE_100_R4,White-tailed deer,38,0
SUN_PRAIRIE_100_R4,American bison,39,0
SUN_PRAIRIE_100_R4,Coyote,39,0
SUN_PRAIRIE_100_R4,Mule deer,39,0
SUN_PRAIRIE_100_R4,Pronghorn,39,0
