deployment_id,species,time_in_fov_s,image_time_s,duration_days
SUN_PRAIRIE_102_R5,Coyote,11.083516483516483,10,22.00486111
SUN_PRAIRIE_102_R5,Mule deer,0,0,22.00486111
SUN_PRAIRIE_102_R5,Pronghorn,0,0,22.00486111
SUN_PRAIRIE_102_R5,White-tailed deer,0,0,22.00486111
SUN_PRAIRIE_103_R1,American bison,35.410542651181416,54,4.160509259
SUN_PRAIRIE_103_R1,Coyote,3.0417582417582416,4,4.160509259
SUN_PRAIRIE_103_R1,Mule deer,0,0,4.160509259
SUN_PRAIRIE_103_R1,Pronghorn,0,0,4.160509259
SUN_PRAIRIE_103_R1,White-tailed deer,0,0,4.160509259
SUN_PRAIRIE_103_R2,American bison,0,0,0.286064815
SUN_PRAIRIE_103_R2,Coyote,0,0,0.286064815
SUN_PRAIRIE_103_R2,Mule deer,0,0,0.286064815
SUN_PRAIRIE_103_R2,Pronghorn,0,0,0.286064815
SUN_PRAIRIE_103_R2,White-tailed deer,0,0,0.286064815
SUN_PRAIRIE_103_R3,American bison,0,0,8.856608796
SUN_PRAIRIE_103_R3,Coyote,0,0,8.856608796
SUN_PRAIRIE_103_R3,Mule deer,0,0,8.856608796
SUN_PRAIRIE_103_R3,Pronghorn,0,0,8.856608796
SUN_PRAIRIE_103_R3,White-tailed deer,0,0,8.856608796
SUN_PRAIRIE_103_R4,American bison,77.23162795354425,62,32.03387731
SUN_PRAIRIE_103_R4,Coyote,120.39054945054946,92,32.03387731
SUN_PRAIRIE_103_R4,Mule deer,0,0,32.03387731
SUN_PRAIRIE_103_R4,Pronghorn,0,0,32.03387731
SUN_PRAIRIE_103_R4,White-tailed deer,0,0,32.03387731
SUN_PRAIRIE_103_R5,American bison,0,0,22.00788194
SUN_PRAIRIE_103_R5,Coyote,0,0,22.00788194
SUN_PRAIRIE_103_R5,Mule deer,0,0,22.00788194
SUN_PRAIRIE_103_R5,Pronghorn,0,0,22.00788194
SUN_PRAIRIE_103_R5,White-tailed deer,0,0,22.00788194
SUN_PRAIRIE_104_R1,American bison,216.31516170833575,138,8.191724537
SUN_PRAIRIE_104_R1,Coyote,4.041758241758242,6,8.191724537
SUN_PRAIRIE_104_R1,Mule deer,4.895506028498356,8,8.191724537
SUN_PRAIRIE_104_R1,Pronghorn,0,0,8.191724537
SUN_PRAIRIE_104_R1,White-tailed deer,0,0,8.191724537
SUN_PRAIRIE_104_R2,American bison,0,0,41.97313657
SUN_PRAIRIE_104_R2,Coyote,0,0,41.97313657
SUN_PRAIRIE_104_R2,Mule deer,0,0,41.97313657
SUN_PRAIRIE_104_R2,Pronghorn,0,0,41.97313657
SUN_PRAIRIE_104_R2,White-tailed deer,0,0,41.97313657
SUN_PRAIRIE_104_R3,American bison,0,0,20.83571759
SUN_PRAIRIE_104_R3,Coyote,0,0,20.83571759
SUN_PRAIRIE_104_R3,Mule deer,0,0,20.83571759
SUN_PRAIRIE_104_R3,Pronghorn,0,0,20.83571759
SUN_PRAIRIE_104_R3,White-tailed deer,0,0,20.83571759
SUN_PRAIRIE_104_R4,American bison,126.51054265118141,86,0.013090278
SUN_PRAIRIE_104_R4,Coyote,0,0,0.013090278
SUN_PRAIRIE_104_R4,Mule deer,0,0,0.013090278
SUN_PRAIRIE_104_R4,Pronghorn,0,0,0.013090278
SUN_PRAIRIE_104_R4,White-tailed deer,0,0,0.013090278
SUN_PRAIRIE_104_R5,American bison,267.20217060472567,246,22.07222222
SUN_PRAIRIE_104_R5,Coyote,0,0,22.07222222
SUN_PRAIRIE_104_R5,Mule deer,43.89550602849835,44,22.07222222
SUN_PRAIRIE_104_R5,Pronghorn,0,0,22.07222222
SUN_PRAIRIE_104_R5,White-tailed deer,0,0,22.07222222
SUN_PRAIRIE_105_R1,American bison,33.82108530236283,44,29.94638889
SUN_PRAIRIE_105_R1,Coyote,4.041758241758242,4,29.94638889
SUN_PRAIRIE_105_R1,Mule deer,0,0,29.94638889
SUN_PRAIRIE_105_R1,Pronghorn,0,0,29.94638889
SUN_PRAIRIE_105_R1,White-tailed deer,0,0,29.94638889
SUN_PRAIRIE_105_R2,American bison,0,0,34.00171296
SUN_PRAIRIE_105_R2,Coyote,0,0,34.00171296
SUN_PRAIRIE_105_R2,Mule deer,0,0,34.00171296
SUN_PRAIRIE_105_R2,Pronghorn,0,0,34.00171296
SUN_PRAIRIE_105_R2,White-tailed deer,0,0,34.00171296
SUN_PRAIRIE_105_R3,American bison,0,0,26.96376157
SUN_PRAIRIE_105_R3,Coyote,0,0,26.96376157
SUN_PRAIRIE_105_R3,Mule deer,0,0,26.96376157
SUN_PRAIRIE_105_R3,Pronghorn,0,0,26.96376157
SUN_PRAIRIE_105_R3,White-tailed deer,0,0,26.96376157
SUN_PRAIRIE_105_R4,American bison,0,0,34.06239583
SUN_PRAIRIE_105_R4,Coyote,0,0,34.06239583
SUN_PRAIRIE_105_R4,Mule deer,0,0,34.06239583
SUN_PRAIRIE_105_R4,Pronghorn,0,0,34.06239583
SUN_PRAIRIE_105_R4,White-tailed deer,0,0,34.06239583
SUN_PRAIRIE_105_R5,American bison,174.47317979353002,172,19.18077546
SUN_PRAIRIE_105_R5,Coyote,0,0,19.18077546
SUN_PRAIRIE_105_R5,Mule deer,0,0,19.18077546
