deployment,species,mean_density_km2,mean_density_image_time_km2
SUN_PRAIRIE_117,Mule deer,0.042002250423141305,0.05854999325604689
SUN_PRAIRIE_117,Pronghorn,1.2951450221810408,1.4923680988545418
SUN_PRAIRIE_117,White-tailed deer,0,0
SUN_PRAIRIE_118,American bison,0.670350499366547,0.5608821763484
SUN_PRAIRIE_118,Coyote,0.010260623422698524,0.011244180292215385
SUN_PRAIRIE_118,Mule deer,0.05840325352577341,0.04623497056499475
SUN_PRAIRIE_118,Pronghorn,0.07833980558712775,0.08443045875986982
SUN_PRAIRIE_118,White-tailed deer,0,0
SUN_PRAIRIE_120,American bison,0.030165056051921563,0.026992246476407106
SUN_PRAIRIE_120,Coyote,0,0
SUN_PRAIRIE_120,Mule deer,0.32048492069536777,0.5385996156132938
SUN_PRAIRIE_120,Pronghorn,0.03770889279674014,0.07459883629286009
SUN_PRAIRIE_120,White-tailed deer,2.070792721948284,2.743783456776916
SUN_PRAIRIE_13,American bison,0.5758000195497153,0.5997642429979455
SUN_PRAIRIE_13,Coyote,0,0
SUN_PRAIRIE_13,Mule deer,1.1817573674513409,2.12389952016956
SUN_PRAIRIE_13,Pronghorn,0.016661515115538435,0.02807821412042525
SUN_PRAIRIE_13,White-tailed deer,0,0
SUN_PRAIRIE_14,American bison,1.146978410007803,0.5689969451123525
SUN_PRAIRIE_14,Coyote,0.06756192193945745,0.08582499606228813
SUN_PRAIRIE_14,Mule deer,1.5371401059231968,2.4510637635609034
SUN_PRAIRIE_14,Pronghorn,0,0
SUN_PRAIRIE_14,White-tailed deer,0,0
SUN_PRAIRIE_18,American bison,0,0
SUN_PRAIRIE_18,Coyote,0.007246009317899403,0.014342291417701913
SUN_PRAIRIE_18,Mule deer,0.09901274227752452,0.1612282849461088
SUN_PRAIRIE_18,Pronghorn,0,0
SUN_PRAIRIE_18,White-tailed deer,0,0
SUN_PRAIRIE_19,American bison,0,0
SUN_PRAIRIE_19,Coyote,0,0
SUN_PRAIRIE_19,Mule deer,0,0
SUN_PRAIRIE_19,Pronghorn,0,0
SUN_PRAIRIE_19,White-tailed deer,0,0
SUN_PRAIRIE_23,American bison,0,0
SUN_PRAIRIE_23,Coyote,0,0
SUN_PRAIRIE_23,Mule deer,0.06498869460368742,0.10878814539634411
SUN_PRAIRIE_23,Pronghorn,0.01835030908955964,0.032636443618903235
SUN_PRAIRIE_23,White-tailed deer,0,0
SUN_PRAIRIE_24,American bison,10.088501657572147,9.22683194459607
SUN_PRAIRIE_24,Coyote,0,0
SUN_PRAIRIE_24,Mule deer,13.761420050772477,13.675000261676072
SUN_PRAIRIE_24,Pronghorn,0,0
SUN_PRAIRIE_24,White-tailed deer,0,0
SUN_PRAIRIE_25,American bison,0.988831945943295,1.1593432826724515
SUN_PRAIRIE_25,Coyote,0,0
SUN_PRAIRIE_25,Mule deer,37.000013086036276,36.398363324179286
SUN_PRAIRIE_25,Pronghorn,0,0
SUN_PRAIRIE_25,White-tailed deer,0,0
SUN_PRAIRIE_26,American bison,0.027890312360012492,0.045952089568797094
SUN_PRAIRIE_26,Coyote,0,0
SUN_PRAIRIE_26,Mule deer,0.11235893289909045,0.1656376095939375
SUN_PRAIRIE_26,Pronghorn,0,0
SUN_PRAIRIE_26,White-tailed deer,0,0
SUN_PRAIRIE_27,American bison,1.1583819610708812,0.8029073377284563
SUN_PRAIRIE_27,Coyote,0,0
SUN_PRAIRIE_27,Mule deer,0.4606567739959172,0.6862005623780474
SUN_PRAIRIE_27,Pronghorn,0,0
SUN_PRAIRIE_27,White-tailed deer,0,0
SUN_PRAIRIE_28,American bison,0.41040315863923005,0.26422850080099164
SUN_PRAIRIE_28,Coyote,0,0
SUN_PRAIRIE_28,Mule deer,0.3708287646665859,0.46482829006650617
SUN_PRAIRIE_28,Pronghorn,0.05371966918841391,0.034533698860770595
SUN_PRAIRIE_28,White-tailed deer,0,0
SUN_PRAIRIE_30,American bison,0,0
SUN_PRAIRIE_30,Coyote,0,0
SUN_PRAIRIE_30,Mule deer,0,0
SUN_PRAIRIE_30,Pronghorn,0,0
SUN_PRAIRIE_30,White-tailed deer,0,0
SUN_PRAIRIE_31,American bison,0,0
SUN_PRAIRIE_31,Coyote,0,0
SUN_PRAIRIE_31,Mule deer,0,0
SUN_PRAIRIE_31,Pronghorn,0,0
SUN_PRAIRIE_31,White-tailed deer,0,0
SUN_PRAIRIE_32,American bison,0.14640463715981547,0.13277698345857666
SUN_PRAIRIE_32,Coyote,0,0
SUN_PRAIRIE_32,Mule deer,0,0
SUN_PRAIRIE_32,Pronghorn,0,0
SUN_PRAIRIE_32,White-tailed deer,0,0
SUN_PRAIRIE_33,American bison,0.1259868038708293,0.1903391408491207
SUN_PRAIRIE_33,Coyote,0.03027769664082436,0.04666560067797028
SUN_PRAIRIE_33,Mule deer,0.9947935238298694,1.0049372428789756
SUN_PRAIRIE_33,Pronghorn,0,0
SUN_PRAIRIE_33,White-tailed deer,0,0
SUN_PRAIRIE_34,American bison,0.3274002690921939,0.41179128001453824
SUN_PRAIRIE_34,Coyote,0.008755793734390057,0.013596881055110838
SUN_PRAIRIE_34,Mule deer,0.7846152495956015,1.0380738665778164
SUN_PRAIRIE_34,Pronghorn,0.010812205602827207,0.021013361630625844
SUN_PRAIRIE_34,White-tailed deer,0,0
SUN_PRAIRIE_38,American bison,0.9452067342787714,1.0533951289933023
SUN_PRAIRIE_38,Coyote,0,0
SUN_PRAIRIE_38,Mule deer,0.9929172264729365,1.3723815466253266
SUN_PRAIRIE_38,Pronghorn,0,0
SUN_PRAIRIE_38,White-tailed deer,0.02576731162603139,0.031151818234814554
SUN_PRAIRIE_39,American bison,0,0
SUN_PRAIRIE_39,Coyote,0.01755792082344459,0.019865949249912473
SUN_PRAIRIE_39,Mule deer,4.278241636233869,6.308416301555099
SUN_PRAIRIE_39,Pronghorn,0,0
SUN_PRAIRIE_39,White-tailed deer,0,0
SUN_PRAIRIE_45,American bison,0.30477773838200306,0.29760822671585413
SUN_PRAIRIE_45,Coyote,0,0
SUN_PRAIRIE_45,Mule deer,0.034600923950855476,0.07178240291510352
SUN_PRAIRIE_45,Pronghorn,0,0
SUN_PRAIRIE_45,White-tailed deer,0,0
SUN_PRAIRIE_46,American bison,4.255437957090272,5.92402361172295
SUN_PRAIRIE_46,Coyote,0,0
SUN_PRAIRIE_46,Mule deer,0.05318270371327603,0.10253938101579643
SUN_PRAIRIE_46,Pronghorn,0.028827119729463058,0.04272474208991517
SUN_PRAIRIE_46,White-tailed deer,0,0
SUN_PRAIRIE_47,American bison,2.135579691502671,1.734933201346495
