deployment_id,species,week,time_in_fov_s,image_time_s,duration_days,distance,effort,density_km2,density_image_time_km2
SUN_PRAIRIE_10_R3,Mule deer,31,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R3,Mule deer,32,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R3,Mule deer,33,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R3,Mule deer,34,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R3,Pronghorn,30,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R3,Pronghorn,31,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R3,Pronghorn,32,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R3,Pronghorn,33,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R3,Pronghorn,34,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R3,White-tailed deer,30,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R3,White-tailed deer,31,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R3,White-tailed deer,32,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R3,White-tailed deer,33,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R3,White-tailed deer,34,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R4,American bison,34,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R4,American bison,35,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R4,American bison,36,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R4,American bison,37,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R4,American bison,38,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R4,Coyote,34,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R4,Coyote,35,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R4,Coyote,36,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R4,Coyote,37,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R4,Coyote,38,5.041758241758242,8,7,14,4.513805418092775,0.1292782429649784,0.2051319984274286
SUN_PRAIRIE_10_R4,Mule deer,34,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R4,Mule deer,35,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R4,Mule deer,36,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R4,Mule deer,37,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R4,Mule deer,38,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R4,Pronghorn,34,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R4,Pronghorn,35,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R4,Pronghorn,36,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R4,Pronghorn,37,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R4,Pronghorn,38,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R4,White-tailed deer,34,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R4,White-tailed deer,35,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R4,White-tailed deer,36,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R4,White-tailed deer,37,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_10_R4,White-tailed deer,38,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R1,American bison,20,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R1,American bison,21,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R1,American bison,22,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R1,American bison,23,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R1,American bison,24,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R1,American bison,25,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R1,Coyote,20,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R1,Coyote,21,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R1,Coyote,22,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R1,Coyote,23,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R1,Coyote,24,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R1,Coyote,25,0,0,7,12,3.3162652051293855,0,0
