deployment_id,species,time_in_fov_s,image_time_s,duration_days,distance_m,effort,density_km2,density_image_time_km2
SUN_PRAIRIE_10_R1,American bison,0,0,25.80521991,7,4.159990765886913,0,0
SUN_PRAIRIE_10_R2,American bison,0,0,34.96375,14,22.545652026691606,0,0
SUN_PRAIRIE_100_R1,American bison,0,0,0.004803241,12,0.002275545857164411,0,0
SUN_PRAIRIE_100_R2,American bison,0,0,35.96418981,12,17.03811304251026,0,0
SUN_PRAIRIE_101_R1,American bison,0,0,27.02858796,14,17.42882668246359,0,0
SUN_PRAIRIE_102_R1,American bison,140.46656822209098,28,29.90532407,13,16.62738450078038,0.9777668071951771,0.19490381909365492
SUN_PRAIRIE_102_R2,American bison,0,0,36.01777778,14,23.22532007014651,0,0
SUN_PRAIRIE_103_R1,American bison,36.055522740696986,40,4.160509259,10,1.3687849296865422,3.048757200123871,3.3822914975326586
SUN_PRAIRIE_103_R2,American bison,0,0,0.286064815,14,0.18446298741038675,0,0
SUN_PRAIRIE_104_R1,American bison,227.0493128568616,102,8.191724537,8,1.7248210191782687,15.235700030632167,6.844510487922918
SUN_PRAIRIE_104_R2,American bison,0,0,41.97313657,14,27.06551018057343,0,0
SUN_PRAIRIE_105_R1,American bison,35.11104548139397,42,29.94638889,17,28.472855561614168,0.1427246523765246,0.17072790962577863
SUN_PRAIRIE_105_R2,American bison,0,0,34.00171296,14,21.925302311897617,0,0
SUN_PRAIRIE_106_R1,American bison,150.95976898339566,36,29.97859954,9,7.988864990866861,2.18706856407814,0.5215592792505744
SUN_PRAIRIE_106_R2,American bison,0,0,26.48346065,14,17.07731259597383,0,0
SUN_PRAIRIE_107_R1,American bison,0,0,15.70215278,10,5.165922907732109,0,0
SUN_PRAIRIE_107_R2,American bison,0,0,37.87224537,14,24.42113519234929,0,0
SUN_PRAIRIE_108_R1,American bison,201.27211138300567,140,29.96465278,6,3.54895483564634,6.564012319328198,4.565767797592349
SUN_PRAIRIE_108_R2,American bison,0,0,38.79028935,14,25.013116891059493,0,0
SUN_PRAIRIE_109_R1,American bison,0,0,4.257430556,5,0.35016787738386546,0,0
SUN_PRAIRIE_109_R2,American bison,0,0,37.87484954,14,24.422814437585807,0,0
SUN_PRAIRIE_110_R1,American bison,0,0,4.063645833,11,1.6176700407892632,0,0
SUN_PRAIRIE_110_R2,American bison,0,0,36.00190972,14,23.215087879403278,0,0
SUN_PRAIRIE_111_R1,American bison,8.111045481393976,8,8.023391204,14,5.173718098299015,0.1814514038766478,0.1789672162908038
SUN_PRAIRIE_111_R2,American bison,0,0,36.03097222,14,23.23382823225518,0,0
SUN_PRAIRIE_112_R1,American bison,58.165522740696986,36,31.84800926,15,23.575099321780467,0.2855606500610169,0.17674015323520542
SUN_PRAIRIE_112_R2,American bison,0,0,6.164444444,14,3.9750146758370146,0,0
SUN_PRAIRIE_113_R1,American bison,5.055522740696988,6,27.93730324,21,40.533284163732695,0.014435789226363169,0.01713269622168443
SUN_PRAIRIE_113_R2,American bison,0,0,34.00359954,14,21.926518834044145,0,0
SUN_PRAIRIE_114_R1,American bison,31.935522740696985,14,29.94122685,13,16.64734647565514,0.22203184533681536,0.09733505413249967
SUN_PRAIRIE_114_R2,American bison,0,0,13.73395833,14,8.8560593602592,0,0
SUN_PRAIRIE_115_R1,American bison,0,0,26.01875,12,12.326439329422888,0,0
SUN_PRAIRIE_115_R2,American bison,0,0,25.71938657,14,16.584615207098366,0,0
SUN_PRAIRIE_116_R1,American bison,84.7904947975828,64,11.86255787,16,9.990955659203749,0.9822598568542024,0.7414112983860203
SUN_PRAIRIE_116_R2,American bison,0,0,35.18453704,14,22.688021989176846,0,0
SUN_PRAIRIE_117_R1,American bison,133.73656822209097,104,31.15579861,9,8.30257158763619,1.8643343579475655,1.4497962360194572
SUN_PRAIRIE_117_R2,American bison,0,0,35.20914352,14,22.70388896956887,0,0
SUN_PRAIRIE_118_R1,American bison,366.525522740697,218,31.70412037,12,15.019895891752112,2.8243827925392395,1.6798705971948094
SUN_PRAIRIE_118_R2,American bison,0,0,1.041655093,14,0.6716897717953333,0,0
SUN_PRAIRIE_120_R1,American bison,0,0,31.11965278,10,10.238196598216465,0,0
SUN_PRAIRIE_120_R2,American bison,0,0,38.84021991,14,25.045313581381837,0,0
SUN_PRAIRIE_13_R1,American bison,0,0,24.74930556,9,6.595333463550798,0,0
SUN_PRAIRIE_13_R2,American bison,0,0,34.96982639,14,22.54957026127796,0,0
SUN_PRAIRIE_14_R1,American bison,106.11104548139397,52,25.72059028,5,2.115483596253797,5.805467377076064,2.844984725561763
SUN_PRAIRIE_14_R2,American bison,0,0,34.96732639,14,22.54795818791435,0,0
SUN_PRAIRIE_18_R1,American bison,0,0,25.86083333,9,6.8915396047443185,0,0
SUN_PRAIRIE_18_R2,American bison,0,0,33.08898148,14,21.33674626908507,0,0
SUN_PRAIRIE_19_R1,American bison,0,0,8.118472222,19,9.642068956800323,0,0
