deployment_id,yday,species,overall_density_km2
SUN_PRAIRIE_103_R1,163,American bison,0
SUN_PRAIRIE_103_R1,164,American bison,0
SUN_PRAIRIE_103_R1,165,American bison,0
SUN_PRAIRIE_103_R1,166,American bison,0
SUN_PRAIRIE_103_R1,167,American bison,0
SUN_PRAIRIE_103_R1,168,American bison,0
SUN_PRAIRIE_103_R1,169,American bison,0
SUN_PRAIRIE_103_R1,170,American bison,0
SUN_PRAIRIE_103_R1,171,American bison,0
SUN_PRAIRIE_103_R2,173,American bison,0
SUN_PRAIRIE_103_R2,174,American bison,0
SUN_PRAIRIE_103_R2,175,American bison,0
SUN_PRAIRIE_103_R2,176,American bison,0
SUN_PRAIRIE_103_R2,177,American bison,0
SUN_PRAIRIE_103_R2,178,American bison,0
SUN_PRAIRIE_103_R2,179,American bison,0
SUN_PRAIRIE_103_R2,180,American bison,0
SUN_PRAIRIE_103_R2,181,American bison,0
SUN_PRAIRIE_103_R2,182,American bison,0
SUN_PRAIRIE_103_R2,183,American bison,0
SUN_PRAIRIE_103_R2,184,American bison,0
SUN_PRAIRIE_103_R2,185,American bison,0
SUN_PRAIRIE_103_R2,186,American bison,0
SUN_PRAIRIE_103_R2,187,American bison,0
SUN_PRAIRIE_103_R2,188,American bison,0
SUN_PRAIRIE_103_R2,189,American bison,0
SUN_PRAIRIE_103_R2,190,American bison,0
SUN_PRAIRIE_103_R2,191,American bison,0
SUN_PRAIRIE_103_R2,192,American bison,0
SUN_PRAIRIE_103_R2,193,American bison,0
SUN_PRAIRIE_103_R2,194,American bison,0
SUN_PRAIRIE_103_R2,195,American bison,0
SUN_PRAIRIE_103_R2,196,American bison,0
SUN_PRAIRIE_103_R2,197,American bison,0
SUN_PRAIRIE_103_R2,198,American bison,0
SUN_PRAIRIE_103_R2,199,American bison,0
SUN_PRAIRIE_103_R2,200,American bison,0
SUN_PRAIRIE_103_R2,201,American bison,0
SUN_PRAIRIE_103_R2,202,American bison,0
SUN_PRAIRIE_103_R2,203,American bison,0
SUN_PRAIRIE_103_R2,204,American bison,0
SUN_PRAIRIE_103_R2,205,American bison,0
SUN_PRAIRIE_103_R2,206,American bison,0
SUN_PRAIRIE_103_R2,207,American bison,0
SUN_PRAIRIE_104_R1,142,American bison,0
SUN_PRAIRIE_104_R1,143,American bison,0
SUN_PRAIRIE_104_R1,144,American bison,0
SUN_PRAIRIE_104_R1,145,American bison,0
